ligand_id,file_prefix,label,train_test_split,atom_count,xsize,ysize,zsize,p_atom_count1,p_atom_count2,p_xsize,p_ysize,p_zsize
1a07,2/pdbbind2016_general_val_3dnn/1a07,6.4,1,0,0,0,0,0,0,0,0,0
1a0t,2/pdbbind2016_general_val_3dnn/1a0t,1.3,1,0,0,0,0,0,0,0,0,0
1a7x,2/pdbbind2016_general_val_3dnn/1a7x,9.7,1,0,0,0,0,0,0,0,0,0
1af6,2/pdbbind2016_general_val_3dnn/1af6,1.82,1,0,0,0,0,0,0,0,0,0
1ai6,2/pdbbind2016_general_val_3dnn/1ai6,3.97,1,0,0,0,0,0,0,0,0,0
1axs,2/pdbbind2016_general_val_3dnn/1axs,7.77,1,0,0,0,0,0,0,0,0,0
1axz,2/pdbbind2016_general_val_3dnn/1axz,3.2,1,0,0,0,0,0,0,0,0,0
1aze,2/pdbbind2016_general_val_3dnn/1aze,4.22,1,0,0,0,0,0,0,0,0,0
1b42,2/pdbbind2016_general_val_3dnn/1b42,4.01,1,0,0,0,0,0,0,0,0,0
1b4d,2/pdbbind2016_general_val_3dnn/1b4d,4.81,1,0,0,0,0,0,0,0,0,0
1bdr,2/pdbbind2016_general_val_3dnn/1bdr,6.68,1,0,0,0,0,0,0,0,0,0
1bio,2/pdbbind2016_general_val_3dnn/1bio,5.54,1,0,0,0,0,0,0,0,0,0
1bl7,2/pdbbind2016_general_val_3dnn/1bl7,7.72,1,0,0,0,0,0,0,0,0,0
1bmq,2/pdbbind2016_general_val_3dnn/1bmq,7.42,1,0,0,0,0,0,0,0,0,0
1cj1,2/pdbbind2016_general_val_3dnn/1cj1,8.8,1,0,0,0,0,0,0,0,0,0
1clu,2/pdbbind2016_general_val_3dnn/1clu,8.27,1,0,0,0,0,0,0,0,0,0
1ct8,2/pdbbind2016_general_val_3dnn/1ct8,6.52,1,0,0,0,0,0,0,0,0,0
1czr,2/pdbbind2016_general_val_3dnn/1czr,9.0,1,0,0,0,0,0,0,0,0,0
1d1p,2/pdbbind2016_general_val_3dnn/1d1p,3.6,1,0,0,0,0,0,0,0,0,0
1d8m,2/pdbbind2016_general_val_3dnn/1d8m,8.51,1,0,0,0,0,0,0,0,0,0
1doj,2/pdbbind2016_general_val_3dnn/1doj,8.96,1,0,0,0,0,0,0,0,0,0
1dwc,2/pdbbind2016_general_val_3dnn/1dwc,7.41,1,0,0,0,0,0,0,0,0,0
1dx6,2/pdbbind2016_general_val_3dnn/1dx6,6.19,1,0,0,0,0,0,0,0,0,0
1dzp,2/pdbbind2016_general_val_3dnn/1dzp,5.44,1,0,0,0,0,0,0,0,0,0
1e34,2/pdbbind2016_general_val_3dnn/1e34,2.88,1,0,0,0,0,0,0,0,0,0
1e5a,2/pdbbind2016_general_val_3dnn/1e5a,7.64,1,0,0,0,0,0,0,0,0,0
1ek2,2/pdbbind2016_general_val_3dnn/1ek2,8.2,1,0,0,0,0,0,0,0,0,0
1ekb,2/pdbbind2016_general_val_3dnn/1ekb,6.0,1,0,0,0,0,0,0,0,0,0
1f0q,2/pdbbind2016_general_val_3dnn/1f0q,6.0,1,0,0,0,0,0,0,0,0,0
1f7b,2/pdbbind2016_general_val_3dnn/1f7b,4.6,1,0,0,0,0,0,0,0,0,0
1ff1,2/pdbbind2016_general_val_3dnn/1ff1,4.92,1,0,0,0,0,0,0,0,0,0
1fig,2/pdbbind2016_general_val_3dnn/1fig,6.22,1,0,0,0,0,0,0,0,0,0
1fj4,2/pdbbind2016_general_val_3dnn/1fj4,4.59,1,0,0,0,0,0,0,0,0,0
1fq4,2/pdbbind2016_general_val_3dnn/1fq4,6.4,1,0,0,0,0,0,0,0,0,0
1fq7,2/pdbbind2016_general_val_3dnn/1fq7,5.43,1,0,0,0,0,0,0,0,0,0
1g1e,2/pdbbind2016_general_val_3dnn/1g1e,7.54,1,0,0,0,0,0,0,0,0,0
1g3b,2/pdbbind2016_general_val_3dnn/1g3b,5.74,1,0,0,0,0,0,0,0,0,0
1g42,2/pdbbind2016_general_val_3dnn/1g42,3.01,1,0,0,0,0,0,0,0,0,0
1g9r,2/pdbbind2016_general_val_3dnn/1g9r,5.7,1,0,0,0,0,0,0,0,0,0
1ga8,2/pdbbind2016_general_val_3dnn/1ga8,1.8,1,0,0,0,0,0,0,0,0,0
